model,accuracy,balanced_accuracy,macro_f1,weighted_f1
LogisticRegression,0.7738853503184714,0.5224188375191589,0.5129111802114681,0.7758268802570037
GradientBoosting,0.7707006369426752,0.4773231869502033,0.5044372174913573,0.7499703950074728
RandomForest,0.7197452229299363,0.3718651448854272,0.40432510275125283,0.6716399600535409
SVM_RBF,0.7420382165605095,0.37208480048353926,0.40112208286871837,0.6985855083425663
