model,source,accuracy,balanced_accuracy,macro_f1,weighted_f1
Best baseline (Improved CNN),"this notebook (Task 2 method, re-run on this split)",0.7866242038216561,0.5124822124813403,0.5236737095739687,0.7718756344540619
First GNN,this notebook,0.697452229299363,0.30796287995836213,0.28142451766088866,0.6568324469088646
Final GNN (A3_global_fusion),this notebook,0.802547770700637,0.5296302214906917,0.53093363624776,0.7991391010861089
