experiment,val_macro_f1,val_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,cfg_variant,cfg_hidden,cfg_layers,cfg_dropout,cfg_batch_norm,cfg_graph,cfg_weighted_edges,cfg_global_branch,optimizer,scheduler,class_weighted
A3_global_fusion,0.7117163380419541,0.8027210884353742,0.802547770700637,0.5296302214906917,0.53093363624776,0.7991391010861089,GCN,128,3,0.3,True,spatial,True,True,AdamW,True,True
A1_regularized_GCN,0.6847639328355966,0.8129251700680272,0.7961783439490446,0.5385215183704585,0.5387695379854696,0.7953740218110702,GCN,128,3,0.3,True,spatial,False,False,AdamW,True,True
A2_weighted_GCN,0.6842350602173902,0.8061224489795918,0.8184713375796179,0.5599611527243192,0.6079816361701429,0.8021039440205087,GCN,128,3,0.3,True,spatial,True,False,AdamW,True,True
A7_optimizer_adam,0.6687183595371687,0.8027210884353742,0.8121019108280255,0.5776823342417093,0.5829754580358436,0.8112683204086444,GCN,128,3,0.3,True,spatial,True,True,Adam,True,True
A5_GAT_global,0.6584929253864897,0.7925170068027211,0.8057324840764332,0.5404670122021514,0.5791641086186541,0.7909701531820814,GAT,128,2,0.3,False,spatial,True,True,AdamW,True,True
A4_knn_global,0.587774717947059,0.7551020408163265,0.7738853503184714,0.4837274159863808,0.5114739229024943,0.7538631078758466,GCN,128,3,0.3,True,knn,True,True,AdamW,True,True
A6_graphsage_global,0.5724144225069135,0.717687074829932,0.7484076433121019,0.5300316825140974,0.5016358215395529,0.7589272841364464,GraphSAGE,128,2,0.3,False,spatial,True,True,AdamW,True,True
A0_first_GCN,0.5055162873972762,0.7687074829931972,0.7738853503184714,0.4208759159703938,0.38602091082738516,0.7352861087329727,GCN,64,2,0.1,False,spatial,False,False,Adam,False,False
A8_no_lr_schedule,0.39999886154842823,0.5782312925170068,0.5605095541401274,0.4595309471212712,0.39995950062509905,0.5990220277644094,GCN,128,3,0.3,True,spatial,True,True,AdamW,False,True
